driver,step,n,event
ALO,raw,44,2025 Belgian Grand Prix
ANT,raw,44,2025 Belgian Grand Prix
BEA,raw,44,2025 Belgian Grand Prix
BOR,raw,44,2025 Belgian Grand Prix
COL,raw,44,2025 Belgian Grand Prix
GAS,raw,44,2025 Belgian Grand Prix
HAD,raw,43,2025 Belgian Grand Prix
HAM,raw,44,2025 Belgian Grand Prix
HUL,raw,44,2025 Belgian Grand Prix
LAW,raw,44,2025 Belgian Grand Prix
LEC,raw,44,2025 Belgian Grand Prix
NOR,raw,44,2025 Belgian Grand Prix
OCO,raw,44,2025 Belgian Grand Prix
PIA,raw,44,2025 Belgian Grand Prix
RUS,raw,44,2025 Belgian Grand Prix
SAI,raw,44,2025 Belgian Grand Prix
STR,raw,44,2025 Belgian Grand Prix
TSU,raw,44,2025 Belgian Grand Prix
VER,raw,44,2025 Belgian Grand Prix
ALB,accurate_valid,37,2025 Belgian Grand Prix
ALO,accurate_valid,35,2025 Belgian Grand Prix
ANT,accurate_valid,35,2025 Belgian Grand Prix
BEA,accurate_valid,38,2025 Belgian Grand Prix
BOR,accurate_valid,37,2025 Belgian Grand Prix
COL,accurate_valid,34,2025 Belgian Grand Prix
GAS,accurate_valid,37,2025 Belgian Grand Prix
HAD,accurate_valid,33,2025 Belgian Grand Prix
HAM,accurate_valid,38,2025 Belgian Grand Prix
HUL,accurate_valid,36,2025 Belgian Grand Prix
LAW,accurate_valid,38,2025 Belgian Grand Prix
LEC,accurate_valid,38,2025 Belgian Grand Prix
NOR,accurate_valid,37,2025 Belgian Grand Prix
OCO,accurate_valid,38,2025 Belgian Grand Prix
PIA,accurate_valid,38,2025 Belgian Grand Prix
RUS,accurate_valid,38,2025 Belgian Grand Prix
SAI,accurate_valid,34,2025 Belgian Grand Prix
STR,accurate_valid,38,2025 Belgian Grand Prix
TSU,accurate_valid,37,2025 Belgian Grand Prix
VER,accurate_valid,38,2025 Belgian Grand Prix
ALB,no_pits,37,2025 Belgian Grand Prix
ALO,no_pits,35,2025 Belgian Grand Prix
ANT,no_pits,35,2025 Belgian Grand Prix
BEA,no_pits,38,2025 Belgian Grand Prix
BOR,no_pits,37,2025 Belgian Grand Prix
COL,no_pits,34,2025 Belgian Grand Prix
GAS,no_pits,37,2025 Belgian Grand Prix
HAD,no_pits,33,2025 Belgian Grand Prix
HAM,no_pits,38,2025 Belgian Grand Prix
HUL,no_pits,36,2025 Belgian Grand Prix
